user_id,days_last_order,total_orders,total_value,unique_days_visited,total_sessions,avg_duration_btw_login,avg_session_time,avg_page_visits,label
6674,4,6,15033,125,299,1.46,198.25,11.34,1
6956,0,9,20676,56,156,3.23,417.39,19.73,0
7002,13,15,8845,81,209,2.21,314.93,16.69,0
7227,6,5,2611,33,72,5.33,369.40,13.32,1
8654,6,5,1309,31,47,5.61,249.77,17.17,0
8739,12,10,9724,134,382,1.37,204.05,15.65,0
8990,20,4,6299,16,64,1.44,912.28,51.69,1
9050,24,5,4308,28,37,5.50,153.28,13.05,0
9385,17,8,10652,25,103,3.68,456.83,35.68,1
9421,0,20,18874,154,852,1.19,229.58,24.71,0
9636,0,141,945562,150,856,1.23,259.18,15.66,0
10048,0,20,28499,35,111,1.26,264.66,32.24,0
10077,3,11,12240,59,84,2.97,178.38,9.62,1
10116,23,5,2911,9,13,4.44,673.67,26.15,1
10137,13,5,3127,108,227,1.69,403.15,20.81,0
10870,17,3,2444,35,66,1.60,234.73,14.11,0
11230,6,8,4482,18,67,3.89,418.19,25.99,0
11764,0,4,9595,14,18,5.36,249.67,11.78,0
12093,0,8,12039,44,79,4.16,428.33,19.25,0
12648,0,22,21995,19,26,7.00,185.80,10.00,0
12705,13,11,13880,58,133,2.98,304.50,17.92,0
12928,16,16,40536,132,357,1.39,172.93,16.52,0
12946,17,6,19459,68,132,2.62,537.92,28.39,1
13657,2,3,680,2,5,2.00,402.43,34.20,1
13688,4,20,31353,138,491,1.32,467.54,49.98,0
13702,12,3,886,23,42,6.22,232.36,17.95,0
13881,17,5,739,25,48,6.96,281.04,17.06,0
14313,7,16,7640,124,275,1.48,510.73,34.76,1
14387,13,7,4955,36,66,5.08,852.98,34.45,0
14757,5,6,19749,5,9,22.00,73.69,13.67,0
15032,6,13,9718,84,140,2.15,221.19,18.54,0
15687,26,7,65610,35,56,4.91,491.50,28.50,0
15714,7,7,3388,130,259,1.42,384.93,35.81,0
15756,14,5,28131,7,69,24.14,205.55,11.83,0
15906,17,8,102562,147,385,1.25,458.64,16.38,0
16323,25,4,2509,32,47,2.78,274.03,19.96,1
16400,3,8,36942,58,104,3.07,264.03,19.27,0
16609,17,6,42768,80,142,2.30,645.78,23.20,1
16714,12,5,9554,36,69,4.89,184.62,15.35,0
16900,1,5,5746,8,12,13.63,434.55,18.92,0
17131,10,4,2054,35,41,5.06,254.32,14.37,0
18152,4,9,6602,78,138,1.68,162.33,14.72,0
18807,6,13,11877,73,119,2.52,272.41,16.13,0
19001,24,6,8264,40,59,4.33,328.17,20.59,0
19642,0,5,14057,57,159,3.21,315.40,16.76,0
19653,6,7,14156,12,27,7.50,147.96,23.37,0
19835,20,11,5067,96,255,1.23,552.04,43.92,0
19855,26,6,7536,1,1,1.00,109.29,9.00,1
20046,7,9,8293,40,147,1.80,277.93,25.32,1
20258,6,16,13769,99,418,1.81,483.98,26.22,0
20332,20,4,10085,35,66,3.91,748.57,31.71,0
20568,12,4,2474,29,113,2.10,375.08,21.40,0
20670,5,6,6651,33,46,5.58,407.37,22.35,0
20779,3,8,3470,39,56,4.49,295.65,18.84,1
20957,0,10,2355,38,153,1.45,194.80,18.89,0
21123,6,46,36369,139,813,1.32,507.07,26.49,0
21730,13,13,6029,25,53,6.72,676.19,47.62,0
22128,4,5,14213,34,64,3.59,463.87,24.94,0
22149,11,4,2632,38,63,4.74,439.38,27.90,1
22339,28,6,1734,87,131,2.10,233.08,20.30,0
22451,23,3,6364,18,26,7.72,706.57,22.81,0
23047,0,12,6287,124,259,1.48,707.94,33.76,0
23312,1,3,1318,21,87,1.57,353.47,31.82,0
23804,22,5,1728,45,80,3.69,138.20,11.29,0
24207,17,7,4308,65,113,2.74,197.14,21.04,0
24352,11,3,1230,23,27,5.13,239.61,19.07,0
24386,26,20,174751,46,57,3.78,190.02,17.47,0
24456,19,7,6387,141,490,1.30,249.45,26.50,0
24623,7,18,14141,70,144,1.49,314.68,25.48,0
24624,18,5,22084,8,10,3.00,606.73,41.60,0
25176,28,7,2468,52,95,2.19,533.72,32.05,1
25682,22,6,3145,24,46,1.79,253.65,17.52,0
25710,5,8,20342,30,38,3.73,981.81,38.95,0
25927,0,13,23606,100,245,1.82,322.72,22.28,0
25979,20,11,8927,52,106,2.12,213.97,22.36,0
26066,2,5,7379,30,55,6.00,554.11,29.64,0
26312,2,14,7591,54,94,3.35,380.25,21.78,0
26821,20,8,7497,34,76,4.88,276.02,23.42,0
26973,16,4,2804,47,68,3.23,319.57,13.50,0
27141,20,3,712,15,88,1.40,203.45,18.68,1
28490,14,6,3377,17,29,2.71,210.81,22.76,0
28500,1,5,13457,17,28,10.18,229.28,20.93,0
28575,19,15,10765,88,152,2.06,549.27,41.43,0
28594,9,9,5931,76,116,2.41,375.27,31.28,0
28916,13,7,6001,56,97,2.98,311.10,12.85,0
29058,16,9,14146,72,141,2.44,288.04,20.91,0
29159,17,11,6638,54,95,2.98,269.43,18.97,0
29501,13,11,58930,75,185,1.64,760.51,43.63,0
29510,1,9,25212,115,215,1.58,306.62,21.47,0
29659,6,3,1548,10,16,3.40,242.16,24.69,0
30013,22,11,8849,102,233,1.80,263.89,20.72,0
30019,16,8,6847,71,199,2.49,593.34,45.91,0
30041,28,4,1339,30,42,5.83,527.34,25.69,0
30081,2,41,33435,57,120,2.44,928.47,60.15,0
30257,2,3,2794,10,14,4.50,671.81,48.36,0
30747,5,3,18173,2,7,0.50,389.75,17.43,0
31236,9,8,6871,40,148,1.05,320.90,22.94,0
31361,10,5,4089,122,294,1.51,739.94,66.60,0
31643,0,6,8523,62,115,2.97,307.99,17.91,0
31818,16,13,19514,83,170,2.19,295.73,33.05,1
32039,19,7,6281,43,48,4.12,927.24,46.88,0
32081,17,5,3259,27,36,6.67,246.79,14.86,0
32156,19,18,28018,78,173,2.27,785.34,35.11,0
32713,12,4,1071,33,82,3.09,191.86,9.11,0
33375,16,4,1533,8,19,1.00,401.55,23.53,1
33613,16,4,1309,31,60,5.26,519.25,37.37,0
33681,5,58,36488,106,239,1.70,419.28,32.79,0
33814,0,3,1245,9,19,2.00,268.20,15.00,0
33899,10,7,23340,10,14,13.10,132.83,14.64,0
33969,4,4,2199,22,32,8.14,320.45,22.94,0
34069,4,56,39936,185,1740,0.99,294.25,36.43,0
34124,9,37,70351,150,789,1.23,380.64,26.52,0
35032,13,5,4841,31,61,5.71,194.83,11.93,0
35921,3,6,3218,47,67,3.87,239.38,10.10,1
36293,27,5,4866,12,50,1.08,617.67,27.52,0
36328,6,7,4223,26,38,5.50,328.38,25.11,0
36540,4,30,124119,95,160,1.83,344.35,24.89,0
37020,25,3,652,53,73,3.36,372.88,15.71,1
37088,11,21,12711,116,302,1.54,229.06,23.93,0
37165,5,62,437090,152,762,1.20,461.31,30.01,0
37628,16,5,3551,111,234,1.59,552.01,23.78,0
37691,0,3,48014,31,66,2.42,358.34,20.11,0
37805,22,9,11848,52,87,3.52,304.94,22.48,0
38406,2,13,25360,146,547,1.26,151.23,11.01,0
38657,9,17,44121,27,64,2.26,303.40,22.27,1
38846,16,3,1073,33,61,1.45,359.92,8.79,0
39003,21,10,5332,22,26,7.27,187.20,17.00,0
39233,2,11,10781,30,115,1.10,622.46,33.30,0
39414,5,33,35099,107,366,1.70,482.73,29.65,0
39618,0,9,14410,57,279,1.07,368.34,23.51,0
39700,3,14,18282,55,278,3.35,498.69,36.07,0
39925,13,5,5072,38,61,4.84,408.72,29.54,0
40031,1,14,171286,10,21,6.50,116.63,13.29,0
40634,12,5,1789,18,22,3.28,333.46,25.00,0
40643,2,10,4416,64,126,2.83,449.23,36.79,0
40796,8,11,64919,86,239,1.97,477.92,28.82,0
40953,13,3,10473,2,3,1.00,252.53,20.67,1
41438,0,6,8935,34,62,5.24,292.82,17.08,1
41801,9,12,29384,11,18,8.09,250.69,15.06,0
41814,10,8,16158,93,208,1.96,298.04,18.13,0
41999,3,46,186374,69,441,2.36,279.93,17.96,0
42044,1,10,91342,34,114,1.29,685.97,30.42,0
42087,25,11,9190,66,118,2.74,387.72,26.30,0
42111,28,4,1868,31,67,5.81,634.80,19.72,0
42111,10,4,1882,26,35,6.19,166.31,15.83,0
42137,9,5,2275,35,47,5.00,563.98,48.15,0
42515,9,6,7365,54,115,3.31,221.80,12.02,0
42785,0,82,705750,79,240,2.30,198.10,16.66,0
42805,2,3,2873,25,31,7.04,375.08,8.77,1
43185,2,6,3701,38,87,4.82,187.72,8.32,0
43693,5,4,1824,24,70,3.04,532.91,36.71,0
44446,6,4,2506,34,41,4.88,906.34,31.05,0
44676,12,21,54230,46,109,1.76,539.80,13.61,0
44724,7,6,1901,50,90,3.26,148.90,16.16,0
44999,17,5,33267,46,81,4.00,123.08,11.94,0
45009,21,3,1508,39,66,4.46,381.98,18.30,1
45098,0,12,15721,53,86,3.47,257.04,16.45,0
45105,17,5,15358,1,1,1.00,1301.54,158.00,1
45114,27,38,10892,57,122,2.77,573.60,31.62,1
45355,7,5,1961,14,18,10.36,250.01,10.89,0
45728,23,5,2240,49,89,3.02,938.44,40.67,1
45740,12,5,3195,39,107,2.38,143.48,9.07,0
45874,24,18,17405,52,83,1.90,616.45,47.87,0
45909,7,6,10299,55,81,3.25,143.49,12.80,0
46045,10,8,2927,69,199,2.23,511.90,48.59,0
46115,6,8,13608,51,66,3.53,490.29,25.59,1
46210,2,11,6778,36,67,3.58,575.90,39.87,0
46242,18,4,2412,75,137,2.37,141.14,10.64,0
46303,2,23,6016,91,172,1.99,286.99,21.77,0
46913,9,7,10718,43,77,4.07,307.18,20.18,1
47191,4,60,208123,12,17,14.25,343.40,16.06,0
47280,16,5,4294,33,87,3.55,335.09,32.01,0
47343,8,13,6142,42,89,2.90,294.08,24.48,1
47388,12,8,1261,84,186,2.18,355.76,22.53,0
47572,8,3,7381,3,3,2.00,1629.53,53.00,1
47864,0,31,33770,90,200,2.04,260.85,26.03,0
47885,23,14,9498,101,270,1.79,266.62,24.57,1
48238,0,8,35391,25,57,2.32,250.46,14.54,0
48464,5,7,9174,66,327,2.79,197.02,15.74,0
48494,11,12,39859,131,266,1.40,466.27,18.95,0
48571,0,12,18508,79,200,2.33,463.11,22.61,0
48919,10,48,331419,64,209,2.77,196.93,26.67,0
49199,3,13,56459,68,699,1.09,1092.22,21.90,0
49371,1,18,40428,115,272,1.59,317.63,20.18,0
49513,24,5,7178,52,90,3.50,159.65,15.99,0
50203,4,19,68163,79,156,2.30,139.45,14.76,0
50253,14,4,3546,42,72,4.19,270.14,22.24,1
50257,2,9,8113,152,650,1.21,495.44,28.12,0
50475,5,6,1617,22,104,1.50,257.77,26.33,1
50507,17,3,16174,2,2,8.00,196.55,18.00,0
50609,7,4,36796,14,49,12.21,211.09,9.65,0
50749,8,19,17128,66,235,1.73,297.14,22.14,1
50853,2,17,51028,41,89,3.76,300.93,18.30,0
50982,13,5,10123,19,29,9.26,456.53,31.38,0
51355,12,11,110003,47,175,1.32,374.66,22.53,0
51571,2,6,3556,21,45,3.62,395.85,33.18,0
51650,12,3,27432,1,5,2.00,432.42,35.20,1
51974,12,14,16929,58,132,3.02,761.94,48.33,0
52076,0,5,22421,7,13,22.86,806.64,32.31,0
52165,28,8,11472,19,29,8.42,669.35,36.24,0
52174,12,5,1260,54,100,3.20,366.05,15.16,0
52262,13,4,4802,28,132,1.39,374.16,33.75,0
52412,17,4,3160,88,236,2.08,312.09,22.67,0
52496,14,9,10325,34,79,5.32,464.54,26.52,0
52796,7,6,3754,21,56,3.57,371.35,18.41,0
53272,20,4,2136,6,21,2.50,395.90,28.05,0
53308,27,22,17297,60,128,1.95,284.93,18.56,0
53409,6,16,13555,107,222,1.72,265.08,13.51,0
53626,6,5,13414,61,122,2.69,183.80,13.24,0
54058,24,5,19387,53,93,3.45,357.37,24.31,0
54076,1,5,7562,32,48,5.50,378.73,13.48,0
54234,1,6,4177,24,51,7.63,531.12,26.47,0
54246,12,42,98520,128,343,1.38,320.37,21.28,0
54672,0,8,14916,130,459,1.42,197.18,13.55,0
54686,0,3,2501,20,28,8.35,198.94,13.96,0
54962,10,5,3976,50,84,1.50,421.60,18.90,0
55356,9,15,33369,76,387,2.29,281.14,25.09,0
55473,9,3,3035,36,97,4.97,328.76,17.30,0
55571,12,16,59209,44,67,4.16,164.28,12.84,0
55662,20,5,5422,41,75,2.95,348.67,17.37,0
55698,4,4,1623,16,26,4.44,544.13,32.08,0
56036,0,59,100532,143,435,1.28,416.58,13.45,0
56376,2,5,3687,52,337,1.06,257.36,12.03,0
56408,3,4,6211,24,39,6.71,787.35,29.82,0
56968,12,18,49396,47,78,2.38,290.33,16.38,0
57001,0,41,53753,81,141,2.23,263.72,24.82,1
57035,10,3,1098,62,107,2.87,262.62,24.77,0
57160,2,10,6916,31,71,2.84,665.56,41.37,0
57203,20,10,2927,60,127,2.98,197.39,16.56,0
57488,2,4,23469,10,24,1.00,903.30,29.54,1
57581,1,29,139115,156,532,1.18,304.24,18.67,0
57632,11,3,5502,41,64,4.41,295.72,20.67,0
57844,20,4,2011,23,67,2.00,356.78,25.61,1
57873,0,85,64680,43,71,2.60,921.95,42.32,0
57896,16,4,70687,100,178,1.81,231.27,8.48,0
57986,3,17,1528,27,39,5.26,196.30,11.51,0
58286,4,9,86494,95,160,1.86,369.40,17.87,0
58309,29,3,1073,32,40,5.13,222.09,13.65,1
58397,12,31,128041,65,141,2.72,705.16,38.53,0
58486,2,19,26027,27,73,1.70,422.91,23.29,0
58505,1,15,5140,39,64,4.69,435.97,31.48,1
58587,6,19,42880,141,533,1.30,298.04,18.53,0
58850,19,6,10253,61,163,2.66,455.81,25.03,0
59045,18,6,4889,28,67,1.68,544.63,26.97,0
59094,23,18,18023,73,170,2.38,285.73,20.02,0
59394,7,29,100066,115,326,1.26,287.09,26.57,0
59458,5,30,34505,114,259,1.61,404.79,28.72,0
59510,23,3,1536,12,18,4.17,119.15,13.83,0
59516,16,8,4921,50,123,1.66,360.62,20.11,1
59694,5,4,9344,29,48,6.07,308.05,14.58,0
60121,8,3,1282,14,18,7.71,474.07,21.61,0
60203,5,25,26200,111,579,1.03,340.95,33.01,0
60488,22,8,142134,57,119,3.05,442.72,20.44,0
60942,12,3,11314,27,51,3.52,265.75,13.22,0
60963,2,4,3243,38,69,4.66,213.95,19.77,0
61038,4,14,16379,69,140,2.61,817.36,50.10,0
61350,0,8,42092,36,113,1.17,255.53,16.67,0
61437,8,4,9105,13,18,1.77,354.29,14.28,1
61743,24,12,69748,90,342,1.96,707.25,22.01,0
61762,2,5,1910,69,116,1.96,518.17,34.54,0
62419,0,30,60074,124,342,1.48,190.82,15.03,0
62447,5,6,5827,63,118,2.90,387.37,22.29,0
62545,24,9,100150,57,87,3.12,582.67,17.28,0
62926,7,4,4192,47,72,3.55,564.13,37.39,0
62946,12,3,1782,6,9,1.83,688.73,26.33,1
63019,17,12,110358,41,101,2.46,378.80,27.68,0
63053,2,25,10044,113,387,1.45,368.92,22.18,1
63104,0,196,497513,184,1552,1.00,1169.57,45.18,0
63300,28,3,4689,38,64,4.74,248.84,21.97,0
63854,16,5,2475,91,500,1.78,508.72,56.91,0
64000,1,25,42588,95,261,1.94,328.05,26.43,0
64110,18,3,7821,44,111,1.59,307.47,21.06,1
64260,7,3,1224,30,38,3.93,318.15,19.29,1
64392,5,6,3863,29,48,5.45,357.53,30.79,1
64495,24,5,2076,32,46,5.56,446.10,29.87,0
64635,5,12,15839,57,314,2.11,390.72,26.95,0
64895,0,10,3426,77,215,1.16,519.39,36.99,1
65626,3,8,7295,38,65,2.13,728.22,20.38,0
66080,5,15,85103,128,552,1.41,315.87,26.39,0
66284,11,11,14753,45,75,3.93,426.99,14.36,0
66655,10,3,4895,95,181,1.93,269.01,11.39,0
66901,2,8,13257,110,222,1.66,405.77,29.11,1
67087,5,8,7627,85,230,1.94,156.72,11.74,0
67290,5,5,7793,26,52,4.73,831.72,40.46,1
67349,0,12,8188,69,108,2.65,359.23,18.05,0
67600,22,5,4453,22,38,7.09,398.75,22.58,1
67608,5,7,32181,9,15,17.78,392.44,16.53,1
67721,2,12,19878,146,387,1.26,384.98,11.83,0
67740,25,4,1693,14,46,5.14,558.75,27.85,0
68041,10,11,8761,32,40,5.75,288.86,14.38,0
68073,16,4,1520,18,26,8.56,629.27,17.58,1
68193,28,3,4157,24,27,6.67,235.43,14.63,0
68279,24,10,187679,135,541,1.36,180.17,14.25,0
68283,9,5,1439,25,38,6.76,279.25,16.08,0
68399,9,7,57983,63,337,2.86,317.70,18.39,0
68405,4,5,4306,53,83,3.42,550.46,28.25,0
68665,0,45,30335,153,676,1.20,645.98,52.53,0
68690,26,9,18859,84,167,2.19,222.06,13.11,0
68771,5,25,31728,157,838,1.17,526.47,12.22,0
69376,1,10,3907,56,136,3.29,463.97,40.39,0
69684,20,9,7024,95,389,1.72,751.61,64.94,1
69731,5,49,43738,152,948,1.21,363.01,37.63,0
70119,24,41,636321,154,542,1.19,219.71,11.85,0
70509,5,3,4046,12,14,13.83,543.51,17.93,0
70735,12,14,7093,33,148,1.30,404.14,23.09,0
70884,2,6,1820,18,55,1.39,364.98,27.20,0
71018,25,17,10497,78,146,2.28,263.06,13.22,1
71018,12,3,6087,4,7,25.00,1080.51,58.29,0
71049,0,26,21420,100,370,1.72,320.46,19.75,0
71060,0,48,31632,184,3420,1.00,85.53,15.73,0
71195,16,12,7708,55,114,2.98,304.51,15.37,0
71647,3,15,11744,111,286,1.65,316.26,24.97,0
71664,17,6,3592,12,35,2.00,189.87,23.54,0
71892,14,12,3458,78,180,2.19,247.99,28.81,0
72658,16,9,3844,78,146,2.00,362.35,22.79,1
73126,3,19,7115,62,146,2.97,561.60,18.71,0
73135,12,5,5458,19,43,6.47,548.51,36.51,0
73549,9,28,25378,141,339,1.28,185.46,15.26,0
73585,6,8,16232,44,108,1.89,392.55,19.16,0
73617,5,22,58368,125,355,1.46,483.18,31.55,0
73628,10,4,2222,25,59,7.08,539.45,25.51,0
73913,0,8,7489,51,88,3.04,212.31,14.74,0
74043,0,11,4182,59,126,3.07,519.68,31.80,0
74343,5,10,7913,90,177,1.99,268.20,13.70,0
74394,22,36,114867,113,246,1.55,252.17,13.16,1
74444,20,16,7410,95,261,1.94,1256.63,55.92,0
74842,0,14,9759,109,370,1.69,301.61,17.61,0
75420,9,4,7459,38,57,4.66,382.16,24.33,0
75661,7,3,1663,19,41,8.53,435.24,15.63,1
75871,1,12,12349,91,244,2.02,324.49,33.20,0
75960,2,9,4759,22,60,7.27,352.65,28.23,1
76085,10,4,4910,37,57,4.73,205.88,13.91,0
76259,9,21,134482,1,4,1.00,149.20,7.75,0
76332,0,17,27040,34,47,5.06,293.89,27.11,0
76585,9,8,5411,12,55,1.00,868.34,60.89,0
76814,7,7,9271,39,77,2.05,234.94,18.34,0
77120,3,33,2927638,75,331,2.41,260.15,19.74,0
77192,6,12,8602,101,305,1.78,228.63,22.15,1
77203,26,9,2490,25,51,4.20,325.08,20.29,1
77293,5,27,75178,71,126,2.48,196.14,11.85,0
78094,0,5,2073,17,21,4.41,301.31,10.48,0
78161,3,15,9903,87,158,2.10,322.05,11.66,0
78334,16,6,18717,69,138,2.65,201.82,14.24,0
78404,8,5,11739,43,108,4.23,267.74,18.69,0
78794,15,16,91156,79,171,2.28,280.29,16.85,0
78902,26,3,7777,42,79,4.24,146.49,8.25,0
79156,10,7,4805,52,108,3.42,708.56,48.11,0
79374,8,9,17253,42,82,3.00,411.02,20.44,0
79462,10,15,65677,18,24,5.11,327.11,30.17,1
79551,4,8,6749,28,82,4.11,227.32,17.22,0
79583,4,28,44143,35,84,5.20,151.89,13.77,0
79619,4,23,16068,121,374,1.52,167.81,18.88,0
79639,4,88,123067,124,414,1.47,531.37,50.08,0
79720,0,9,3682,43,99,3.84,421.88,25.55,0
79974,13,8,5818,112,244,1.64,363.01,19.19,0
80281,10,21,51678,94,437,1.34,258.29,21.93,1
80348,7,12,6194,7,36,1.86,434.52,38.64,1
80514,9,5,4926,37,54,4.95,193.07,14.22,0
80543,2,4,1478,12,22,6.00,357.40,21.05,0
81097,3,5,2603,24,38,2.21,183.09,11.42,0
81877,24,7,17524,120,316,1.53,425.99,32.18,0
82192,5,8,17363,72,147,2.39,450.19,20.03,0
82472,1,13,11750,77,218,1.35,528.21,44.72,0
82517,12,8,5432,39,63,4.54,419.05,22.35,0
82550,1,3,21430,48,74,3.75,475.33,22.30,1
82559,4,4,13406,12,14,3.25,208.80,10.21,0
82927,22,6,6543,76,165,2.41,448.64,21.74,0
83417,10,6,1965,18,24,9.89,343.92,37.75,1
83626,15,14,23551,86,159,2.12,209.20,15.68,0
83711,15,3,2611,15,18,5.07,414.60,32.61,0
83899,2,9,4264,47,101,3.91,143.48,16.10,0
84144,15,3,17515,6,7,1.67,102.66,10.14,1
84207,10,3,1367,33,51,3.36,364.37,10.35,0
84575,2,6,679,13,17,3.62,249.12,19.24,0
84945,11,5,1836,31,78,1.90,433.30,44.97,0
85112,10,9,13547,91,172,1.99,718.88,23.82,0
85500,7,7,24375,22,37,3.45,375.77,14.86,1
85692,17,14,6581,57,138,2.77,376.75,27.72,0
86220,1,3,2629,55,93,3.35,363.02,27.45,0
86341,23,7,2519,31,49,5.42,216.00,17.22,0
86654,12,3,21914,1,3,1.00,393.89,18.00,1
86735,26,13,10152,101,245,1.82,384.54,25.49,0
86757,5,3,1083,43,59,4.21,294.45,20.32,1
86791,21,6,4702,90,159,1.81,262.64,9.54,0
86862,11,5,4635,49,76,3.63,362.66,25.55,0
86988,5,16,25343,66,93,2.73,384.55,26.17,0
87036,13,6,2091,119,241,1.55,229.13,18.98,1
87108,6,6,1933,21,32,2.90,371.53,25.25,1
87233,4,6,18065,29,104,1.00,526.73,29.13,0
87238,11,10,6973,55,118,3.33,636.57,43.70,0
87244,28,5,1683,25,36,4.96,321.27,13.94,0
87294,8,23,69154,122,439,1.49,282.48,15.44,0
87362,3,5,3711,38,100,1.92,372.09,21.15,0
87380,1,87,117282,116,293,1.55,574.16,26.43,0
87408,6,21,29409,104,260,1.75,279.83,20.00,0
87420,7,5,6544,27,55,3.48,225.77,15.91,0
87446,0,9,3285,46,60,3.98,162.20,16.55,0
87531,18,7,5672,36,122,2.00,374.92,25.26,0
87647,24,11,77915,104,183,1.77,313.85,14.56,0
87649,2,9,11662,47,88,3.87,185.14,16.39,0
87653,19,3,908,31,54,5.94,243.31,10.09,0
87808,19,7,2686,44,74,2.52,244.08,11.57,1
87837,12,10,18058,15,56,3.53,282.04,18.88,0
88204,23,8,9647,115,248,1.60,270.03,27.75,0
88219,23,3,3370,26,52,2.58,212.47,14.08,0
88417,5,5,16812,13,28,9.54,417.29,21.25,0
88513,9,3,5047,17,26,2.29,427.38,23.04,0
88557,2,4,2263,27,157,2.56,153.02,14.71,0
88989,8,3,2157,7,10,2.14,313.46,15.50,0
89312,7,7,8173,70,121,2.59,289.18,12.61,0
89363,26,8,4542,97,278,1.80,254.66,22.12,1
89419,14,32,109045,152,451,1.19,311.92,20.37,0
89606,7,5,5752,7,32,1.00,421.99,36.44,1
89856,8,6,14389,27,48,3.85,232.58,17.71,1
90063,12,8,96909,10,19,14.00,937.70,53.00,0
90097,12,8,19562,47,141,3.85,408.90,27.43,0
90237,4,16,28381,87,203,1.98,628.82,27.56,0
90283,17,9,12251,52,78,3.44,172.86,16.26,0
90406,15,4,3917,21,31,2.14,577.51,16.39,0
90512,26,5,3167,24,33,3.58,925.34,40.06,0
90626,24,3,2554,60,129,2.82,252.61,19.95,1
90659,0,15,19680,127,382,1.34,464.12,21.24,0
91023,5,55,68822,173,1308,1.06,386.58,40.21,0
91163,17,27,21327,85,222,2.14,479.04,24.19,0
91280,2,5,3708,53,77,3.43,329.53,14.52,0
91429,17,3,8905,42,83,4.17,506.78,27.92,0
91550,23,5,2493,16,32,1.31,299.60,8.56,0
91709,4,4,14260,6,30,1.00,627.56,20.90,1
91851,28,4,1751,56,141,1.05,726.38,40.29,0
91866,16,3,3285,11,16,15.27,955.35,30.69,0
92241,12,35,62349,109,481,1.64,286.24,29.26,0
92267,21,4,5932,71,109,2.52,120.68,13.25,0
92910,21,7,5068,40,139,4.20,1322.75,51.44,0
92929,12,9,28593,56,103,3.27,164.45,14.92,0
92976,20,3,1187,13,20,2.69,118.38,13.55,1
93116,4,10,8126,20,33,1.50,519.13,30.70,0
93142,17,10,7221,28,41,5.29,554.17,34.22,0
93589,10,4,4514,104,211,1.77,221.39,17.81,1
93610,20,10,4981,17,38,3.24,211.95,16.08,0
93962,4,32,51315,51,107,1.59,481.08,30.32,0
94341,1,25,19095,111,342,1.24,260.34,21.74,0
94560,23,5,1619,11,23,5.27,526.73,31.17,1
94624,6,20,161738,66,255,2.71,558.57,32.49,0
94920,29,7,3501,49,94,3.47,232.94,21.09,1
95585,4,34,45439,158,544,1.16,557.21,30.15,0
95586,5,5,2247,156,333,1.18,231.83,23.78,1
96504,7,4,1064,21,29,8.57,560.25,18.90,0
96627,19,12,13948,45,82,3.87,240.04,15.77,0
96760,7,10,12586,150,505,1.22,616.19,48.15,1
96872,10,3,1583,47,72,3.77,206.81,15.25,0
96875,4,4,6793,15,31,7.33,1169.38,73.23,0
96974,24,4,1917,27,101,4.37,490.96,42.62,0
97648,11,28,22864,76,181,2.39,474.45,17.21,0
97863,15,7,7256,106,196,1.74,242.42,13.28,0
97993,5,9,8853,66,180,2.17,547.48,40.28,0
98207,26,6,4755,46,69,3.87,380.52,17.80,0
